major_id,major_name,college_name,college_id
20260921,材料科学与工程,材料科学与工程学院,80
20260431,新闻学,传媒与国际文化学院,25
20262503,传播学,传媒与国际文化学院,25
20262504,传播学（国际学生）,传媒与国际文化学院,25
20260641,地质学,地球科学学院,83
20260643,大气科学,地球科学学院,83
20260648,地理信息科学,地球科学学院,83
20261011,电气工程及其自动化,电气工程学院,10
20261016,电气工程及其自动化（爱迪生班）,电气工程学院,10
20261021,自动化（电气学院）,电气工程学院,10
20261031,电子信息工程（电气学院）,电气工程学院,10
20261036,电子信息工程（爱迪生班）,电气工程学院,10
20261721,动物科学,动物科学学院,17
20261732,动物医学（五年制）,动物科学学院,17
20260932,高分子材料与工程,高分子科学与工程学系,65
20260221,政治学与行政学,公共管理学院,24
20260471,社会学,公共管理学院,24
20262011,农林经济管理,公共管理学院,24
20262401,行政管理,公共管理学院,24
20262404,劳动与社会保障,公共管理学院,24
20262405,土地资源管理,公共管理学院,24
20262023,工商管理（国际学生）,管理学院,20
20262031,工商管理,管理学院,20
20262033,会计学,管理学院,20
20262043,商务大数据分析（信息管理与信息系统-统计学）,管理学院,20
20262062,会计学（智能财务创新班）,管理学院,20
20266601,光电信息科学与工程,光电科学与工程学院,84
20268403,光电信息科学与工程（智能光电芯片及系统创新班）,光电科学与工程学院,84
20260210,法学（数字法治卓越班）,光华法学院,A0
20260211,法学,光华法学院,A0
20262312,汉语言（国际学生）,国际教育学院,23
20266911,海洋工程与技术,海洋学院,74
20266913,海洋科学,海洋学院,74
20260831,工程力学,航空航天学院,26
20262601,飞行器设计与工程,航空航天学院,26
20262607,飞行器设计与工程（低空科技创新班）,航空航天学院,26
20260912,化学工程与工艺,化学工程与生物工程学院,81
20260914,生物工程,化学工程与生物工程学院,81
20260631,化学,化学系,77
20261411,环境科学,环境与资源学院,14
20261421,环境工程,环境与资源学院,14
20261432,农业资源与环境,环境与资源学院,14
20260817,机械工程,机械工程学院,58
20260818,机械工程（国际学生）,机械工程学院,58
20265802,机械工程（智能制造与机器人创新班）,机械工程学院,58
20262112,计算机科学与技术,计算机科学与技术学院,21
20262116,信息安全,计算机科学与技术学院,21
20262211,软件工程,计算机科学与技术学院,21
20261221,建筑学,建筑工程学院,12
20261223,建筑学（四年制）,建筑工程学院,12
20261233,城乡规划（四年制）,建筑工程学院,12
20261252,土木、水利与交通工程,建筑工程学院,12
20260311,教育学,教育学院,03
20260320,智能体育工程,教育学院,03
20260321,体育教育,教育学院,03
20260323,运动训练,教育学院,03
20260330,运动训练（体艺部）,教育学院,03
20260112,经济学,经济学院,01
20260115,经济学（国际学生）,经济学院,01
20260121,金融学,经济学院,01
20260125,金融学（国际学生）,经济学院,01
20260126,数字金融（金融学-数学与应用数学）,经济学院,01
