major_id,major_name,college_name,college_id
20200420,古典文献学,文学院,41
20200421,汉语言文学,文学院,41
20200430,汉语言文学（强基计划）,文学院,41
20203058,汉语言文学（求是科学班）,文学院,41
20200461,历史学,历史学院,42
20200466,历史学（强基计划）,历史学院,42
20200411,哲学,哲学学院,43
20200412,哲学（强基计划）,哲学学院,43
20200511,英语,外国语学院,38
20200512,英语（留学生）,外国语学院,38
20200515,翻译,外国语学院,38
20200522,国际组织与国际发展,外国语学院,38
20200531,德语,外国语学院,38
20200532,日语,外国语学院,38
20200533,法语,外国语学院,38
20200534,俄语,外国语学院,38
20200561,西班牙语,外国语学院,38
20200431,新闻学,传媒与国际文化学院,25
20202503,传播学,传媒与国际文化学院,25
20200444,视觉传达设计,艺术与考古学院,56
20200445,环境设计,艺术与考古学院,56
20200446,书法学,艺术与考古学院,56
20200469,文物与博物馆学,艺术与考古学院,56
20205602,文物与博物馆学（第二学士学位）,艺术与考古学院,56
20200112,经济学,经济学院,01
20200114,经济学（拔尖班）,经济学院,01
20200121,金融学,经济学院,01
20200122,金融学（试验班）,经济学院,01
20200124,金融学（留学生）,经济学院,01
20200131,财政学,经济学院,01
20200141,国际经济与贸易,经济学院,01
20200143,国际经济与贸易（留学生）,经济学院,01
20200311,教育学,教育学院,03
20200321,体育教育,教育学院,03
20200323,运动训练,教育学院,03
20200329,武术与民族传统体育,教育学院,03
20202031,工商管理,管理学院,20
20202033,会计学,管理学院,20
20202041,信息管理与信息系统,管理学院,20
20203093,会计学（竺可桢学院智能财务班）,管理学院,20
20200221,政治学与行政学,公共管理学院,24
20200465,信息资源管理,公共管理学院,24
20200471,社会学,公共管理学院,24
20202011,农林经济管理,公共管理学院,24
20202401,行政管理,公共管理学院,24
20202402,行政管理(体育),公共管理学院,24
20202404,劳动与社会保障,公共管理学院,24
20202405,土地资源管理,公共管理学院,24
20203006,社会科学试验班（公共管理英才班）,公共管理学院,24
20202402,行政管理(体育),公共体育与艺术部,48
20200611,数学与应用数学,数学科学学院,82
20200612,信息与计算科学,数学科学学院,82
20200613,统计学,数学科学学院,82
20203073,数学与应用数学（求是科学班）,数学科学学院,82
20208201,数学与应用数学（强基计划）,数学科学学院,82
20200621,物理学,物理学院,32
20203074,物理学（求是科学班）,物理学院,32
20207601,物理学（强基计划）,物理学院,32
20200631,化学,化学系,77
20203075,化学（求是科学班）,化学系,77
